Library Name,Project ID,Final ng/ul,Adjusted peak size,Empirical Library nM,Target Reads (M),Calculated nM,Effective nM (Use),Adjusted lib nM,Stock Volume (Âµl)
EF19,7050I,1.7766,198,,100,13.59504132231405,13.59504132231405,13.59504132231405,0.7355623100303952
EF20,7050I,1.7037200000000001,198,,10,13.037343128252221,13.037343128252221,13.037343128252221,0.07670274458244311
EF21,7050I,1.61175,198,,100,12.33356290174472,12.33356290174472,12.33356290174472,0.8107957189390413
EF22,7050I,2.27232,196,,10,17.565862708719852,17.565862708719852,17.565862708719852,0.05692860160540769
EF23,7050I,2.45575,198,,100,18.792087542087543,18.792087542087543,18.792087542087543,0.5321388577827548
EF24,7050I,2.3963200000000002,198,,10,18.337312519130702,18.337312519130702,18.337312519130702,0.054533618214595715
EF25,7050I,2.53,199,,100,19.26298157453936,19.26298157453936,19.26298157453936,0.5191304347826088
EF26,7050I,3.3,198,,10,25.252525252525253,25.252525252525253,25.252525252525253,0.039599999999999996
EF27,7050I,3.1212,197,,100,24.005537609598523,24.005537609598523,24.005537609598523,0.41657054978854285
EF28,7050I,0.1,198,,10,0.7652280379553107,0.7652280379553107,0.7652280379553107,1.3068000000000002
EF29,7050I,0.1,196,,100,0.7730364873222016,0.7730364873222016,0.7730364873222016,12.936
EF30,7050I,0.1,197,,10,0.7691124442393478,0.7691124442393478,0.7691124442393478,1.3002000000000002
